kljuc_igre,kljuc_razvijalca,razvijalec
6871,666296,Monolith Productions
7179,666296,Monolith Productions
11976,666296,Monolith Productions
10306,666296,Monolith Productions
20766,666296,Monolith Productions
11671,666296,Monolith Productions
3959,666298,Monolith
8804,666298,Monolith
617,666298,Monolith
71434,666299,2K Games
628,666311,Sculptured Software
2727,666311,Sculptured Software
2670,666311,Sculptured Software
2672,666311,Sculptured Software
13790,666311,Sculptured Software
739,666314,Bullfrog Productions
738,666314,Bullfrog Productions
4848,666327,Digital Pictures
5574,666327,Digital Pictures
4582,666327,Digital Pictures
4698,666327,Digital Pictures
10182,666327,Digital Pictures
10440,666330,Firaxis Games
11022,666330,Firaxis Games
11073,666330,Firaxis Games
18065,666330,Firaxis Games
108,666331,Relic Entertainment
781,666331,Relic Entertainment
2454,666331,Relic Entertainment
5034,666331,Relic Entertainment
8165,666331,Relic Entertainment
8561,666331,Relic Entertainment
7388,666331,Relic Entertainment
10761,666331,Relic Entertainment
183,666331,Relic Entertainment
20,666332,Epic Games
744,666332,Epic Games
776,666332,Epic Games
3752,666332,Epic Games
7184,666332,Epic Games
6347,666332,Epic Games
10460,666332,Epic Games
11064,666332,Epic Games
21,666332,Epic Games
12978,666332,Epic Games
777,666332,Epic Games
909,666332,Epic Games
14986,666332,Epic Games
14377,666332,Epic Games
775,666332,Epic Games
15659,666332,Epic Games
5730,666334,Digital Anvil
4186,666335,Massive Entertainment
756,666336,Remedy Entertainment
757,666336,Remedy Entertainment
3949,666336,Remedy Entertainment
3950,666336,Remedy Entertainment
7702,666336,Remedy Entertainment
17562,666336,Remedy Entertainment
13449,666336,Remedy Entertainment
758,666337,Illusion Softworks
7824,666337,Illusion Softworks
7697,666337,Illusion Softworks
11082,666337,Illusion Softworks
17260,666337,Illusion Softworks
769,666340,Volition
2453,666340,Volition
928,666340,Volition
4548,666340,Volition
4550,666340,Volition
3779,666340,Volition
5037,666340,Volition
7864,666340,Volition
5155,666340,Volition
5933,666340,Volition
11890,666340,Volition
7865,666340,Volition
7274,666340,Volition
11892,666340,Volition
12660,666340,Volition
16695,666340,Volition
768,666340,Volition
41598,666340,Volition
12000,666340,Volition
17806,666340,Volition
12848,666340,Volition
12191,666340,Volition
12487,666340,Volition
34140,666340,Volition
92597,666340,Volition
92908,666340,Volition
13932,666340,Volition
770,666341,Croteam
771,666341,Croteam
6462,666341,Croteam
7735,666341,Croteam
5273,666341,Croteam
5271,666341,Croteam
5272,666341,Croteam
5908,666341,Croteam
51114,666341,Croteam
5779,666342,Lionhead Studios
784,666342,Lionhead Studios
848,666342,Lionhead Studios
6645,666342,Lionhead Studios
5780,666342,Lionhead Studios
8842,666342,Lionhead Studios
19328,666342,Lionhead Studios
22897,666342,Lionhead Studios
792,666346,Pandemic
6974,666346,Pandemic
793,666347,Raven
4982,666347,Raven
3986,666347,Raven
7995,666351,Blue Castle Games
11934,666351,Blue Castle Games
17020,666351,Blue Castle Games
19071,666351,Blue Castle Games
812,666355,Techland
4328,666355,Techland
3427,666355,Techland
7862,666355,Techland
5025,666355,Techland
8524,666355,Techland
6183,666355,Techland
11471,666355,Techland
11523,666355,Techland
10625,666355,Techland
12447,666355,Techland
7863,666355,Techland
16582,666355,Techland
11966,666355,Techland
16562,666355,Techland
13123,666355,Techland
11927,666355,Techland
14974,666355,Techland
16310,666355,Techland
16311,666355,Techland
3987,666356,Terminal Reality
3988,666356,Terminal Reality
5722,666356,Terminal Reality
4685,666356,Terminal Reality
5721,666356,Terminal Reality
12472,666356,Terminal Reality
10260,666356,Terminal Reality
14595,666356,Terminal Reality
15748,666356,Terminal Reality
23275,666356,Terminal Reality
11905,666356,Terminal Reality
15889,666356,Terminal Reality
5781,666357,High Voltage Software
4605,666357,High Voltage Software
6953,666357,High Voltage Software
5810,666357,High Voltage Software
12077,666357,High Voltage Software
6695,666357,High Voltage Software
17477,666357,High Voltage Software
34559,666357,High Voltage Software
20358,666357,High Voltage Software
12031,666357,High Voltage Software
34140,666357,High Voltage Software
16545,666357,High Voltage Software
818,666358,GRIN
